"代码","简称","时间","开盘价(元)","收盘价(元)","最高价(元)","最低价(元)","成交量(股)","A股流通市值(元)","成交金额(元)"
"002689.SZ","博林特","2015-09-11","7.9000","7.9800","8.0900","7.8300","9,466,756.0000","7,472,549,014.9800","75,262,432.0000"
"002689.SZ","博林特","2015-09-14","8.4000","7.2000","8.5100","7.1800","20,300,589.0000","6,742,149,487.2000","160,619,876.0000"
"002689.SZ","博林特","2015-09-15","7.0000","6.8400","7.2900","6.6500","12,461,098.0000","6,405,042,012.8400","87,378,636.0000"
"002689.SZ","博林特","2015-09-16","7.0000","7.5200","7.5200","6.9200","12,272,586.0000","7,041,800,575.5200","88,580,146.0000"
"002689.SZ","博林特","2015-09-17","7.5600","7.4000","7.9800","7.4000","16,175,745.0000","6,929,431,417.4000","123,639,146.0000"
"002689.SZ","博林特","2015-09-18","7.5000","7.5300","7.6300","7.3600","8,690,829.0000","7,051,164,672.0300","65,239,604.0000"
"002689.SZ","博林特","2015-09-21","7.5000","7.9300","8.0000","7.4200","12,762,543.0000","7,425,728,532.4300","99,591,628.0000"
"002689.SZ","博林特","2015-09-22","8.0200","7.9800","8.1800","7.7700","12,259,520.0000","7,472,549,014.9800","97,847,487.0000"
"002689.SZ","博林特","2015-09-23","7.8000","8.0400","8.0800","7.7400","13,096,998.0000","7,528,733,594.0400","104,113,513.0000"
"002689.SZ","博林特","2015-09-24","8.3800","8.2800","8.7900","8.1300","18,750,634.0000","7,753,471,910.2800","157,055,217.0000"
"002689.SZ","博林特","2015-09-25","8.1900","7.7600","8.2700","7.6800","13,037,586.0000","7,266,538,891.7600","103,668,220.0000"
"002689.SZ","博林特","2015-09-28","7.9000","8.0200","8.1000","7.7000","7,043,671.0000","7,510,005,401.0200","55,653,538.0000"
"002689.SZ","博林特","2015-09-29","7.8800","7.7600","7.9400","7.7000","5,707,761.0000","7,266,538,891.7600","44,554,394.0000"
"002689.SZ","博林特","2015-09-30","7.8100","7.7900","7.9000","7.6600","4,535,061.0000","7,294,631,181.2900","35,306,859.0000"
"002690.SZ","美亚光电","2015-09-11","22.5000","23.0000","23.2800","22.1000","3,005,263.0000","7,515,324,980.0000","68,096,534.0000"
"002690.SZ","美亚光电","2015-09-14","22.6000","20.7000","23.1700","20.7000","3,550,380.0000","6,763,792,482.0000","76,789,850.0000"
"002690.SZ","美亚光电","2015-09-15","20.0000","19.2300","20.3700","18.9500","2,985,536.0000","6,283,465,189.8000","58,961,778.0000"
"002690.SZ","美亚光电","2015-09-16","19.3900","21.1500","21.1500","19.3900","2,852,804.0000","6,910,831,449.0000","58,227,452.0000"
"002690.SZ","美亚光电","2015-09-17","21.5900","22.4500","23.2700","21.2200","4,925,286.0000","7,335,610,687.0000","111,684,937.0000"
"002690.SZ","美亚光电","2015-09-18","22.4800","22.1200","22.6900","21.1500","3,723,117.0000","7,227,782,111.2000","81,706,321.0000"
"002690.SZ","美亚光电","2015-09-21","21.6700","24.3300","24.3300","21.3300","5,620,364.0000","7,949,906,815.8000","131,935,701.0000"
"002690.SZ","美亚光电","2015-09-22","24.9000","24.1100","25.2000","23.5100","4,332,403.0000","7,878,021,098.6000","106,058,991.0000"
"002690.SZ","美亚光电","2015-09-23","23.5300","24.4900","26.0000","23.3000","4,204,852.0000","8,002,187,337.4000","104,251,014.0000"
"002690.SZ","美亚光电","2015-09-24","24.4800","26.9400","26.9400","24.4700","4,746,329.0000","8,802,732,824.4000","123,094,519.0000"
"002690.SZ","美亚光电","2015-09-25","26.8300","27.9800","29.4000","26.2500","7,077,636.0000","9,142,556,214.8000","196,020,412.0000"
"002690.SZ","美亚光电","2015-09-28","27.6000","28.7600","29.2000","26.6500","4,904,190.0000","9,397,423,757.6000","136,911,006.0000"
"002690.SZ","美亚光电","2015-09-29","28.0200","27.5000","28.3100","26.5000","2,960,212.0000","8,985,714,650.0000","81,073,647.0000"
"002690.SZ","美亚光电","2015-09-30","26.5000","27.2800","27.5900","26.5000","1,727,638.0000","8,913,828,932.8000","46,791,381.0000"
"002691.SZ","冀凯股份","2015-09-11","17.2600","17.3700","17.6600","17.0100","1,752,649.0000","3,444,905,510.5500","30,381,768.0000"
"002691.SZ","冀凯股份","2015-09-14","17.0800","15.6300","17.6000","15.6300","2,221,730.0000","3,099,819,984.4500","36,275,237.0000"
"002691.SZ","冀凯股份","2015-09-15","14.8600","14.0700","15.8900","14.0700","6,190,663.0000","2,790,432,961.0500","90,973,453.0000"
"002691.SZ","冀凯股份","2015-09-16","14.0000","15.4800","15.4800","12.7100","8,796,033.0000","3,070,071,232.2000","121,736,481.0000"
"002691.SZ","冀凯股份","2015-09-17","14.9900","15.9600","15.9600","14.3000","7,694,945.0000","3,165,267,239.4000","115,962,801.0000"
"002691.SZ","冀凯股份","2015-09-18","15.0000","16.2400","16.8800","14.4600","11,944,766.0000","3,220,798,243.6000","182,898,614.0000"
"002691.SZ","冀凯股份","2015-09-21","15.5800","16.4800","17.1900","15.4000","6,290,657.0000","3,268,396,247.2000","102,595,197.0000"
"002691.SZ","冀凯股份","2015-09-22","16.2400","18.1300","18.1300","16.1100","11,396,393.0000","3,595,632,521.9500","200,322,287.0000"
"002691.SZ","冀凯股份","2015-09-23","18.0100","19.9400","19.9400","17.7100","7,924,642.0000","3,954,600,799.1000","151,378,986.0000"
"002691.SZ","冀凯股份","2015-09-24","19.8900","17.9500","20.2000","17.9500","33,445,950.0000","3,559,934,019.2500","608,734,400.0000"
"002691.SZ","冀凯股份","2015-09-25","16.5900","16.1600","16.5900","16.1600","4,990,700.0000","3,204,932,242.4000","80,951,211.0000"
"002691.SZ","冀凯股份","2015-09-28","14.5500","15.0700","15.5800","14.5400","15,702,830.0000","2,988,757,976.0500","235,593,911.0000"
"002691.SZ","冀凯股份","2015-09-29","14.5100","14.6200","15.3500","14.4200","9,383,068.0000","2,899,511,719.3000","139,421,490.0000"
"002691.SZ","冀凯股份","2015-09-30","14.8800","14.4000","14.8800","14.3500","6,088,907.0000","2,855,880,216.0000","88,649,424.0000"
"002692.SZ","远程电缆","2015-09-11","12.6000","13.1300","13.1600","12.6000","2,545,700.0000","2,652,555,438.1300","32,782,563.0000"
"002692.SZ","远程电缆","2015-09-14","13.1900","11.8200","13.1900","11.8200","2,434,708.0000","2,387,905,961.8200","30,023,779.0000"
"002692.SZ","远程电缆","2015-09-15","11.3200","10.8800","11.5000","10.6400","2,465,483.0000","2,198,004,810.8800","27,131,629.0000"
"002692.SZ","远程电缆","2015-09-16","10.8800","11.9700","11.9700","10.8800","2,426,230.0000","2,418,209,336.9700","27,752,941.0000"
"002692.SZ","远程电缆","2015-09-17","11.9300","11.8900","12.8000","11.7100","3,489,709.0000","2,402,047,536.8900","42,392,764.0000"
"002692.SZ","远程电缆","2015-09-18","12.0000","12.1100","12.3700","11.7200","1,928,734.0000","2,446,492,487.1100","23,048,663.0000"
"002692.SZ","远程电缆","2015-09-21","11.8200","12.5500","12.6000","11.7000","2,490,318.0000","2,535,382,387.5500","30,573,953.0000"
"002692.SZ","远程电缆","2015-09-22","12.5800","12.5600","12.8700","12.2000","3,289,185.0000","2,537,402,612.5600","41,266,729.0000"
"002692.SZ","远程电缆","2015-09-23","12.3000","12.1600","12.5400","12.0200","1,901,001.0000","2,456,593,612.1600","23,317,834.0000"
"002692.SZ","远程电缆","2015-09-24","12.2600","12.4900","12.5800","12.2600","1,962,180.0000","2,523,261,037.4900","24,413,556.0000"
"002692.SZ","远程电缆","2015-09-25","12.5100","12.1900","12.8500","12.0100","3,819,778.0000","2,462,654,287.1900","48,003,948.0000"
