4/29/2005,1.42%, 1.00 
,,
5/31/2005,-1.31%, 1.01 
,,
6/30/2005,-4.29%, 1.00 
,,
7/29/2005,28.46%, 0.96 
,,
8/31/2005,1.76%, 1.23 
,,
9/30/2005,-5.76%, 1.25 
,,
10/31/2005,6.04%, 1.18 
,,
11/30/2005,1.66%, 1.25 
,,
12/30/2005,0.42%, 1.27 
,,
1/25/2006,6.99%, 1.28 
,,
2/28/2006,1.87%, 1.37 
,,
3/31/2006,137.48%, 1.39 
,,
4/28/2006,42.35%, 3.31 
,,
5/31/2006,4.30%, 4.71 
,,
6/30/2006,-1.60%, 4.91 
,,
7/31/2006,5.32%, 4.83 
,,
8/31/2006,18.02%, 5.09 
,,
9/29/2006,-3.34%, 6.00 
,,
10/31/2006,-1.40%, 5.80 
,,
11/30/2006,38.32%, 5.72 
,,
12/29/2006,32.36%, 7.92 
,,
1/31/2007,24.20%, 10.48 
,,
2/28/2007,31.91%, 13.01 
,,
3/30/2007,45.90%, 17.17 
,,
4/30/2007,-2.48%, 25.05 
,,
5/31/2007,-12.87%, 24.43 
,,
6/29/2007,23.67%, 21.28 
,,
7/31/2007,29.87%, 26.32 
,,
8/31/2007,-2.53%, 34.18 
,,
9/28/2007,-10.83%, 33.32 
,,
10/31/2007,4.84%, 29.71 
,,
11/30/2007,22.08%, 31.15 
,,
12/28/2007,-7.75%, 38.02 
,,
1/31/2008,15.20%, 35.08 
,,
2/29/2008,-28.14%, 40.41 
,,
3/31/2008,0.93%, 29.04 
,,
4/30/2008,-3.62%, 29.31 
,,
5/30/2008,-21.99%, 28.25 
,,
6/30/2008,18.48%, 22.04 
,,
7/31/2008,-22.56%, 26.11 
,,
8/29/2008,-15.58%, 20.22 
,,
9/26/2008,-17.32%, 17.07 
,,
10/31/2008,30.55%, 14.11 
,,
11/28/2008,20.02%, 18.42 
,,
12/31/2008,18.16%, 22.11 
,,
1/23/2009,15.48%, 26.13 
,,
2/27/2009,28.22%, 30.17 
,,
3/31/2009,13.28%, 38.68 
,,
4/30/2009,8.35%, 43.82 
,,
5/27/2009,12.33%, 47.48 
,,
6/30/2009,17.69%, 53.33 
,,
7/31/2009,-11.60%, 62.76 
,,
8/31/2009,14.08%, 55.48 
,,
9/30/2009,12.26%, 63.29 
,,
10/30/2009,20.19%, 71.06 
,,
11/30/2009,7.20%, 85.41 
,,
12/31/2009,-6.45%, 91.56 
,,
1/29/2010,10.78%, 85.65 
,,
2/26/2010,11.14%, 94.89 
,,
3/31/2010,-6.56%, 105.46 
,,
4/30/2010,-10.19%, 98.54 
,,
5/31/2010,-5.70%, 88.50 
,,
6/30/2010,23.39%, 83.46 
,,
7/30/2010,4.10%, 102.97 
,,
8/31/2010,1.18%, 107.19 
,,
9/30/2010,10.24%, 108.45 
,,
10/29/2010,5.69%, 119.56 
,,
11/30/2010,3.41%, 126.37 
,,
12/31/2010,-9.17%, 130.68 
,,
1/31/2011,8.70%, 118.69 
,,
2/28/2011,-2.96%, 129.02 
,,
3/31/2011,-8.97%, 125.19 
,,
4/29/2011,-6.56%, 113.96 
,,
5/31/2011,2.08%, 106.49 
,,
6/30/2011,7.23%, 108.71 
,,
7/29/2011,3.87%, 116.56 
,,
8/31/2011,-8.29%, 121.08 
,,
9/30/2011,7.09%, 111.04 
,,
10/31/2011,1.43%, 118.91 
,,
11/30/2011,-18.97%, 120.61 
,,
12/30/2011,-3.16%, 97.73 
,,
1/31/2012,18.25%, 94.64 
,,
2/29/2012,-7.74%, 111.92 
,,
3/30/2012,-0.57%, 103.25 
,,
4/27/2012,3.01%, 102.66 
,,
5/31/2012,0.24%, 105.76 
,,
6/29/2012,-10.89%, 106.01 
,,
7/31/2012,7.47%, 94.46 
,,
8/31/2012,1.84%, 101.52 
,,
9/28/2012,0.11%, 103.39 
,,
10/31/2012,-11.19%, 103.51 
,,
11/30/2012,22.05%, 91.92 
,,
12/31/2012,6.32%, 112.19 
,,
1/31/2013,6.25%, 119.27 
,,
2/28/2013,-4.33%, 126.73 
,,
3/29/2013,-2.23%, 121.24 
,,
4/26/2013,15.29%, 118.54 
,,
5/31/2013,-12.79%, 136.66 
,,
6/28/2013,14.81%, 119.19 
,,
7/31/2013,8.71%, 136.83 
,,
8/30/2013,4.81%, 148.75 
,,
9/30/2013,-1.14%, 155.91 
,,
10/31/2013,8.60%, 154.14 
,,
11/29/2013,8.68%, 167.39 
,,
12/31/2013,4.09%, 181.93 
,,
1/30/2014,5.71%, 189.38 
,,
2/28/2014,-1.28%, 200.19 
,,
3/31/2014,3.84%, 197.63 
,,
4/30/2014,8.17%, 205.22 
,,
5/30/2014,8.51%, 221.99 
,,
6/30/2014,7.22%, 240.87 
,,
7/31/2014,11.13%, 258.27 
,,
8/29/2014,22.87%, 287.01 
,,
9/30/2014,1.07%, 352.64 
,,
10/31/2014,1.20%, 356.40 
,,
11/28/2014,-17.21%, 360.67 
,,
12/31/2014,12.33%, 298.59 
,,
1/30/2015,10.52%, 335.41 
,,
2/27/2015,27.32%, 370.70 
,,
3/31/2015,12.51%, 471.97 
,,
4/30/2015,46.65%, 531.02 
,,
5/29/2015,-32.90%, 778.72 
,,
6/30/2015,-8.36%, 522.49 
